,name,moves,encounterOrEvolutionTrigger,OriginIfEvolution
0,pidgey,"[{'name': 'gust', 'levelLearnedAt': 1}, {'name': 'sand-attack', 'levelLearnedAt': 5}, {'name': 'quick-attack', 'levelLearnedAt': 12}, {'name': 'whirlwind', 'levelLearnedAt': 19}, {'name': 'wing-attack', 'levelLearnedAt': 28}, {'name': 'agility', 'levelLearnedAt': 36}, {'name': 'mirror-move', 'levelLearnedAt': 44}]",walk,
1,rattata,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'quick-attack', 'levelLearnedAt': 7}, {'name': 'hyper-fang', 'levelLearnedAt': 14}, {'name': 'focus-energy', 'levelLearnedAt': 23}, {'name': 'super-fang', 'levelLearnedAt': 34}]",walk,
2,caterpie,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'string-shot', 'levelLearnedAt': 1}]",walk,
3,metapod,"[{'name': 'harden', 'levelLearnedAt': 1}]",walk,
4,weedle,"[{'name': 'poison-sting', 'levelLearnedAt': 1}, {'name': 'string-shot', 'levelLearnedAt': 1}]",walk,
5,kakuna,"[{'name': 'harden', 'levelLearnedAt': 1}]",walk,
6,pikachu,"[{'name': 'growl', 'levelLearnedAt': 1}, {'name': 'thunder-shock', 'levelLearnedAt': 1}, {'name': 'thunder-wave', 'levelLearnedAt': 9}, {'name': 'quick-attack', 'levelLearnedAt': 16}, {'name': 'swift', 'levelLearnedAt': 26}, {'name': 'agility', 'levelLearnedAt': 33}, {'name': 'thunder', 'levelLearnedAt': 43}]",walk,
7,spearow,"[{'name': 'growl', 'levelLearnedAt': 1}, {'name': 'peck', 'levelLearnedAt': 1}, {'name': 'leer', 'levelLearnedAt': 9}, {'name': 'fury-attack', 'levelLearnedAt': 15}, {'name': 'mirror-move', 'levelLearnedAt': 22}, {'name': 'drill-peck', 'levelLearnedAt': 29}, {'name': 'agility', 'levelLearnedAt': 36}]",walk,
8,nidoran-f,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'scratch', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'tail-whip', 'levelLearnedAt': 21}, {'name': 'bite', 'levelLearnedAt': 29}, {'name': 'fury-swipes', 'levelLearnedAt': 36}, {'name': 'double-kick', 'levelLearnedAt': 43}]",walk,
9,nidoran-m,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'leer', 'levelLearnedAt': 1}, {'name': 'horn-attack', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'focus-energy', 'levelLearnedAt': 21}, {'name': 'fury-attack', 'levelLearnedAt': 29}, {'name': 'horn-drill', 'levelLearnedAt': 36}, {'name': 'double-kick', 'levelLearnedAt': 43}]",walk,
